"ID","indicator_id","indicator_name_aff","indicator_name","indicator_function","indicator_parameters","indicator_strategies","indicator_default_para"
"[301386,502700272]",1,"Hilbert Transform - Dominant Cycle Period","HT_DCPERIOD",1,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700273]",2,"Hilbert Transform - Dominant Cycle Phase","HT_DCPHASE",2,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700274]",3,"Hilbert Transform - Phasor Components - Inphase","HT_PHASOR_inphase",3,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700275]",4,"Hilbert Transform - Phasor Components -Quadrature","HT_PHASOR_quadrature",3,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700276]",5,"Hilbert Transform - SineWave - Sine","HT_SINE_sine",4,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700277]",6,"Hilbert Transform - SineWave - Leadsine","HT_SINE_leadsine",4,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700278]",7,"Hilbert Transform - Trend vs Cycle Mode","HT_TRENDMODE",5,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700279]",8,"Addition","ADD",6,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700280]",9,"Division","DIV",7,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700281]",10,"Maximum","MAX",8,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
